dataset,model,num_layers,split,best_step,train_acc,val_acc,test_acc,test_loss,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro,test_roc_auc
tolokers,ResNet,1,0,235,0.7831264138221741,0.783599853515625,0.7823129296302795,0.46930405497550964,,,,,0.7221456284619703
tolokers,ResNet,1,1,458,0.7817656397819519,0.7822388410568237,0.7826530933380127,0.4602496027946472,,,,,0.7293020613888821
tolokers,ResNet,1,2,275,0.7817656397819519,0.781898558139801,0.781632661819458,0.45364952087402344,,,,,0.7408053596653192
tolokers,ResNet,1,3,891,0.7819356918334961,0.7832595705986023,0.781632661819458,0.46196576952934265,,,,,0.7305878876118743
tolokers,ResNet,1,4,843,0.7831264138221741,0.7812180519104004,0.7823129296302795,0.4633115530014038,,,,,0.7362595538854049
tolokers,ResNet,1,5,405,0.7855077385902405,0.7791765928268433,0.7812924981117249,0.4646734297275543,,,,,0.7159940650003118
tolokers,ResNet,1,6,989,0.782446026802063,0.7842803597450256,0.7812924981117249,0.4534272253513336,,,,,0.7378317594332332
tolokers,ResNet,1,7,436,0.7829563021659851,0.7853010892868042,0.7782313227653503,0.47201600670814514,,,,,0.7111486623882612
tolokers,ResNet,1,8,994,0.7815955281257629,0.7832595705986023,0.7812924981117249,0.46196895837783813,,,,,0.7220873358656721
tolokers,ResNet,1,9,603,0.7846572995185852,0.781898558139801,0.7819728255271912,0.4508161246776581,,,,,0.7329907626569494
tolokers,ResNet,2,0,141,0.782275915145874,0.7832595705986023,0.7823129296302795,0.4675494432449341,,,,,0.7204625991990868
tolokers,ResNet,2,1,804,0.7826160788536072,0.783599853515625,0.781632661819458,0.4553217589855194,,,,,0.7294704998793478
tolokers,ResNet,2,2,867,0.7827861905097961,0.7815583348274231,0.7836734652519226,0.4419225752353668,,,,,0.7401099154350661
tolokers,ResNet,2,3,173,0.782446026802063,0.781898558139801,0.7819728255271912,0.4590473175048828,,,,,0.733906498675538
tolokers,ResNet,2,4,463,0.7843170762062073,0.7805375456809998,0.7809523940086365,0.467477023601532,,,,,0.7339183605410637
tolokers,ResNet,2,5,259,0.7849974632263184,0.7784960865974426,0.781632661819458,0.4652106761932373,,,,,0.7152132153382733
tolokers,ResNet,2,6,1000,0.7829563021659851,0.7839400768280029,0.7823129296302795,0.45311039686203003,,,,,0.7371132692928158
tolokers,ResNet,2,7,206,0.7831264138221741,0.7853010892868042,0.7789115905761719,0.47223997116088867,,,,,0.7090867312494408
tolokers,ResNet,2,8,876,0.782275915145874,0.783599853515625,0.7809523940086365,0.4619430601596832,,,,,0.7211519430413552
tolokers,ResNet,2,9,943,0.7826160788536072,0.7815583348274231,0.7836734652519226,0.4481498897075653,,,,,0.7374189665129368
tolokers,ResNet,3,0,107,0.781425416469574,0.781898558139801,0.781632661819458,0.4666554927825928,,,,,0.7204544653484406
tolokers,ResNet,3,2,150,0.7817656397819519,0.781898558139801,0.781632661819458,0.44642534852027893,,,,,0.7400278991077166
tolokers,ResNet,3,1,461,0.7826160788536072,0.783599853515625,0.7823129296302795,0.45472317934036255,,,,,0.7302367763923118
tolokers,ResNet,3,3,182,0.7827861905097961,0.7825790643692017,0.7819728255271912,0.461604505777359,,,,,0.732115018070705
tolokers,ResNet,3,4,204,0.7838068008422852,0.7815583348274231,0.7829931974411011,0.4688134491443634,,,,,0.7301435760203236
tolokers,ResNet,3,5,206,0.7846572995185852,0.7795168161392212,0.7823129296302795,0.46468794345855713,,,,,0.7146675695240884
tolokers,ResNet,3,6,964,0.7829563021659851,0.783599853515625,0.7806122303009033,0.4495418667793274,,,,,0.7411124125272144
