dataset,model,num_layers,split,best_step,train_acc,val_acc,test_acc,test_loss,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro,test_roc_auc
amazon-ratings,ResNet,1,0,989,0.8734280467033386,0.4517393410205841,0.4641515612602234,1.8110071420669556,0.39870539527618193,0.4582537078369719,0.42754907444549045,0.3851398804290155,
amazon-ratings,ResNet,1,1,988,0.8684468269348145,0.4721541702747345,0.46545809507369995,1.8849091529846191,0.39904689787502046,0.4567236774924219,0.4404233953163358,0.3826570170713347,
amazon-ratings,ResNet,1,2,986,0.8224726319313049,0.4587620496749878,0.4581087529659271,1.7273706197738647,0.3771406869577105,0.4478533589790615,0.42202383238234287,0.3628803868788471,
amazon-ratings,ResNet,1,3,1000,0.8114486336708069,0.46121183037757874,0.4572921693325043,1.7039145231246948,0.37383173807696746,0.4472644031431405,0.41778837380808687,0.36033636429344623,
amazon-ratings,ResNet,1,4,1000,0.8832271695137024,0.47444063425064087,0.4674179255962372,1.899875283241272,0.3947164749055163,0.4594194807032293,0.4296209051171104,0.3800850294927682,
amazon-ratings,ResNet,1,5,993,0.8536664843559265,0.46709129214286804,0.4538624882698059,1.831453561782837,0.37495201524641114,0.44451799207156606,0.41880230267869595,0.3605971850464703,
amazon-ratings,ResNet,1,7,999,0.8501551151275635,0.45516902208328247,0.46545809507369995,1.8193001747131348,0.3921722629955414,0.4567564672661441,0.4375742484789429,0.3766183688634019,
amazon-ratings,ResNet,1,6,999,0.8637105822563171,0.4721541702747345,0.4613751471042633,1.8651551008224487,0.39207975717449334,0.45395433288768716,0.4285736537148341,0.37676756860865157,
amazon-ratings,ResNet,1,8,986,0.8833088278770447,0.4662747085094452,0.46219173073768616,1.898167610168457,0.39100213004162765,0.4546885897592994,0.43119648823005424,0.37617811891981023,
amazon-ratings,ResNet,1,9,999,0.8791441917419434,0.47084760665893555,0.46823450922966003,1.8613150119781494,0.3924784271399593,0.4612226378929278,0.4197156801868408,0.3804251055962651,
amazon-ratings,ResNet,2,0,1000,0.908051609992981,0.4592519998550415,0.4719908535480499,2.0851142406463623,0.4112669292595073,0.4685292371758487,0.4240554145770338,0.40364860147787046,
amazon-ratings,ResNet,2,1,994,0.8536664843559265,0.45696553587913513,0.4561489522457123,1.9399136304855347,0.39437431337081386,0.45139226885992717,0.41409974062184557,0.3851041157635529,
amazon-ratings,ResNet,2,2,995,0.8052425384521484,0.45794543623924255,0.45745548605918884,1.7908666133880615,0.37882922133188496,0.4498901862961277,0.40125533010052566,0.37066638108501204,
amazon-ratings,ResNet,2,3,991,0.8704882860183716,0.46709129214286804,0.4625183641910553,1.9340336322784424,0.39332356769696436,0.45761451832060024,0.4117494372302729,0.3835934812931726,
amazon-ratings,ResNet,2,4,970,0.894986093044281,0.4773803651332855,0.4651314616203308,2.0688962936401367,0.39532746545659825,0.459690089669938,0.40846420369854464,0.38883658005316624,
amazon-ratings,ResNet,2,5,987,0.8430507779121399,0.46382492780685425,0.45696553587913513,1.9450052976608276,0.3887140719390705,0.45050887816294505,0.41309713241098595,0.37902640331589244,
amazon-ratings,ResNet,2,7,999,0.9181773662567139,0.4585987329483032,0.47231748700141907,2.2232344150543213,0.4121844126188382,0.468877411746147,0.42636828743474775,0.4052316296614551,
amazon-ratings,ResNet,2,6,979,0.8857585787773132,0.4742773175239563,0.46055853366851807,2.0627193450927734,0.395141267991022,0.456457785855182,0.4073626121085474,0.38910006501154215,
amazon-ratings,ResNet,2,9,988,0.885676920413971,0.4625183641910553,0.4615384638309479,2.0612616539001465,0.3909218245636333,0.45813010791856357,0.4013848816533149,0.38509617271714014,
amazon-ratings,ResNet,2,8,982,0.9089498519897461,0.47231748700141907,0.4677445590496063,2.126171350479126,0.40829200003250843,0.46283235873631917,0.42856471523235395,0.39813804260320185,
amazon-ratings,ResNet,3,0,1000,0.8920463919639587,0.45353585481643677,0.46219173073768616,2.087061643600464,0.40447475220963247,0.46110171924572746,0.40758046258237013,0.4034334839982908,
amazon-ratings,ResNet,3,1,973,0.8526865839958191,0.45745548605918884,0.45582231879234314,2.020885944366455,0.3954148928656882,0.45071927048413857,0.4132897095426486,0.3886301576102596,
amazon-ratings,ResNet,3,2,980,0.8557080030441284,0.4672546088695526,0.46758124232292175,2.0182385444641113,0.39420706087128154,0.46005549696368014,0.41466311933540306,0.3871075448141684,
amazon-ratings,ResNet,3,3,998,0.7983014583587646,0.44667646288871765,0.4582720696926117,1.8191159963607788,0.38365307616033884,0.4528214480636649,0.40035760891092453,0.3761115191055382,
amazon-ratings,ResNet,3,4,997,0.8781642913818359,0.4726441204547882,0.46284499764442444,2.0804131031036377,0.39523484073687337,0.45940831210751637,0.4024176383241865,0.39090505023238475,
amazon-ratings,ResNet,3,5,972,0.8689367771148682,0.4710109233856201,0.4556589722633362,2.0207908153533936,0.39402013669839203,0.45184017028985346,0.4057635441822896,0.3873067314014021,
amazon-ratings,ResNet,3,7,974,0.8690184354782104,0.45271924138069153,0.45418912172317505,2.0301802158355713,0.3945525717084457,0.4517335551171151,0.40254834454047045,0.39074112613413464,
amazon-ratings,ResNet,3,6,971,0.8449289202690125,0.4700310230255127,0.45696553587913513,2.0024585723876953,0.38942265395985604,0.45149881959319943,0.40450079101203107,0.3826740460993977,
amazon-ratings,ResNet,3,9,978,0.8469704389572144,0.46121183037757874,0.4646415114402771,1.9639710187911987,0.38889869304351155,0.4592650097796344,0.4017251784208251,0.3821880245988383,
